time,mag,mag.error,phase
4411.64987,15.124,0.006,0.232015546186892
4416.66463,15.577,0.007,0.566477231896224
4421.66747,15.061,0.006,0.864489160632448
4424.58747,15.057,0.006,0.793456473577386
4426.62601,15.453,0.007,0.0270376469091144
4428.56495,15.177,0.007,0.956055414637553
4430.60348,15.179,0.006,0.189606009314873
4432.64748,15.12,0.006,0.439883128378615
4434.61641,15.167,0.006,0.46060628299378
4436.59276,15.316,0.006,0.504018799758778
4438.61528,15.192,0.006,0.688612967489222
4440.58878,15.143,0.006,0.723310567522429
4441.5778,15.103,0.006,0.747600722267831
4443.53726,15.103,0.006,0.73936589042639
4450.56772,15.122,0.006,0.23756710103443
4453.5597,15.064,0.006,0.386639573976437
4456.56122,15.575,0.008,0.564884083961475
4463.57321,15.353,0.007,0.00660651844967217
4466.5573,15.418,0.007,0.131552432456821
4476.55787,15.143,0.006,0.71195059712309
4479.58762,15.243,0.007,0.976518650684681
4483.58066,15.201,0.006,0.18669797920717
4486.60065,15.116,0.006,0.421421265314831
4492.59805,15.075,0.006,0.760663923758904
4609.86918,15.032,0.006,0.36000862317986
4630.94714,15.033,0.006,0.813575699754071
4638.9341,15.106,0.006,0.236625278455832
4652.90902,15.192,0.006,0.970051265113125
4661.8902,15.115,0.006,0.433291899253366
4662.73716,15.446,0.007,0.0231816784897081
4663.72674,15.534,0.007,0.0491842379265029
4665.79984,15.069,0.006,0.388445243564333
4666.88769,15.118,0.006,0.714944247463693
4670.88195,15.124,0.006,0.928854171920677
4671.81421,15.055,0.006,0.779579879852896
4672.85619,15.208,0.006,0.965814592441323
4675.86256,15.288,0.006,0.15888975018526
4681.85349,15.223,0.006,0.478348018731774
4683.82765,15.363,0.006,0.515063810008806
4685.83477,15.284,0.006,0.652566848762099
4687.87032,15.048,0.005,0.877005004196809
4689.74365,15.491,0.006,0.605396215279591
4690.71132,15.562,0.006,0.564400941210135
4691.71436,15.368,0.007,0.631562370518586
4693.86942,15.138,0.006,0.221446034024602
4696.79102,15.297,0.007,0.155305931797324
4698.73116,15.59,0.007,0.087993138150105
4700.76256,15.049,0.005,0.299741151682536
4701.71684,15.129,0.006,0.217801058325066
4701.76771,15.055,0.006,0.373354677232557
4702.82777,15.433,0.007,0.614875598385508
4703.72705,15.048,0.006,0.364752901532648
4704.74605,15.237,0.006,0.480717864506863
4705.75322,15.547,0.007,0.560508278403213
4708.81404,15.107,0.005,0.920084213615956
4710.72771,15.064,0.005,0.771829719698853
4716.73082,15.405,0.006,0.128532790253296
4719.72365,15.067,0.005,0.280204448886801
4721.69423,15.04,0.006,0.305973081610138
4725.69956,15.535,0.007,0.55373357734873
4728.72116,15.034,0.006,0.793380026938583
4731.71822,15.181,0.006,0.957986456712419
4734.70681,15.561,0.006,0.0966927655463473
4743.68143,15.494,0.006,0.539873801887502
4748.67126,15.028,0.005,0.79810290023106
4750.67305,15.104,0.006,0.919307515775617
4750.70424,15.396,0.006,0.014682341283181
4754.62991,15.404,0.007,0.0188532698491169
4756.6392,15.275,0.006,0.162991876778776
4758.61964,15.142,0.006,0.218911063508475
4760.60632,15.059,0.005,0.293911331073204
